"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 03 12:51:34 EET 2021","Wed Mar 03 12:51:36 EET 2021","1467","CRUD tests","Verify CRUD for Pet","CRUDTests","CRUDTests","deleteEntityTest","deleteEntityTest",""
"passed","Wed Mar 03 12:51:28 EET 2021","Wed Mar 03 12:51:34 EET 2021","5856","CRUD tests","Verify CRUD for user","CRUDTests","CRUDTests","deleteEntityTest","deleteEntityTest",""
